window,step,throughput,cumulative_throughput
1,100,7,7
2,200,3,10
3,300,2,2
4,400,6,8
5,500,2,10
6,600,1,11
7,700,7,7
8,800,2,9
9,900,1,10
10,1000,1,1
11,1100,5,6
12,1200,2,8
13,1300,1,9
14,1400,6,6
15,1500,3,9
16,1600,2,11
17,1700,1,12
18,1800,2,14
19,1900,4,4
20,2000,3,7
21,2100,2,9
22,2200,2,11
23,2300,1,12
24,2400,2,14
25,2500,5,5
26,2600,4,9
27,2700,2,11
28,2800,1,12
29,2900,2,14
30,3000,5,5
31,3100,4,9
32,3200,1,10
33,3300,1,11
34,3400,1,12
35,3500,2,14
36,3600,1,15
37,3700,2,17
38,3800,1,18
39,3900,6,6
40,4000,3,9
41,4100,2,11
42,4200,1,12
43,4300,1,13
44,4400,2,15
45,4500,1,1
46,4600,5,6
47,4700,2,8
