step,reward,avg_speed,cav_count,hdv_count
198,0.406770,4.007245,26,13
199,0.409769,4.015790,26,13
200,0.412792,4.024767,26,13
201,0.415786,4.033224,26,14
202,0.418780,4.041707,26,14
203,0.421766,4.050023,26,14
204,0.424815,4.059438,26,14
205,0.427824,4.068161,26,14
206,0.430888,4.077838,26,14
207,0.433387,4.077819,26,14
208,0.435519,4.071516,26,14
209,0.437618,4.064643,26,14
210,0.439752,4.058370,26,14
211,0.404001,3.809848,25,14
212,0.407415,3.804071,25,14
213,0.410837,3.798459,25,14
214,0.414290,3.793365,25,14
215,0.413289,3.776202,25,14
216,0.412320,3.759596,25,14
217,0.406855,3.730752,25,14
218,0.398497,3.694615,25,14
219,0.390141,3.658508,25,14
220,0.381793,3.622552,25,14
221,0.373491,3.587363,25,14
222,0.365209,3.552535,25,14
223,0.356933,3.517807,25,14
224,0.348704,3.483887,25,14
225,0.340509,3.450537,25,14
226,0.332317,3.417248,25,14
227,0.324189,3.385057,25,14
228,0.360140,3.352673,25,13
229,0.354141,3.321256,25,13
230,0.348167,3.290282,25,13
231,0.342272,3.260657,25,13
232,0.338108,3.237583,25,13
233,0.337626,3.229322,25,13
234,0.362438,3.482534,26,13
235,0.362037,3.475655,26,13
236,0.356067,3.373322,27,13
237,0.355778,3.368372,27,13
238,0.355520,3.363950,27,13
239,0.355286,3.359939,27,13
240,0.355095,3.356650,27,13
241,0.337738,3.094073,26,13
242,0.337603,3.091761,26,13
243,0.337487,3.089763,26,13
244,0.337392,3.088148,26,13
245,0.337313,3.086778,26,13
246,0.337245,3.085613,26,13
247,0.336850,3.078846,26,13
248,0.335880,3.062222,26,13
249,0.334922,3.045790,26,13
250,0.333970,3.029469,26,13
251,0.333031,3.013376,26,13
252,0.332107,2.997542,26,13
253,0.331201,2.982000,26,13
254,0.330302,2.966591,26,13
255,0.329410,2.951301,26,13
256,0.296345,2.923623,26,13
257,0.296887,2.907202,26,13
258,0.297457,2.891260,26,13
259,0.298031,2.875374,26,13
260,0.254288,2.583174,25,13
261,0.255277,2.567975,25,13
262,0.256272,2.552886,25,13
263,0.257306,2.538476,25,13
264,0.258393,2.524973,25,13
265,0.259482,2.511500,25,13
266,0.260630,2.499031,25,13
267,0.261823,2.487335,25,13
268,0.263034,2.475951,25,13
269,0.264325,2.465935,25,13
270,0.265615,2.455916,25,13
271,0.267000,2.447508,25,14
272,0.267985,2.432266,25,14
273,0.268285,2.405265,25,14
274,0.269826,2.399530,25,14
275,0.271366,2.393790,25,14
276,0.317544,2.389823,25,13
277,0.319846,2.386431,25,13
278,0.322216,2.384191,25,13
279,0.324587,2.381979,25,13
280,0.327055,2.381438,25,13
