window,step,throughput,cumulative_throughput
1,100,4,4
2,200,3,7
3,300,4,4
4,400,3,7
5,500,1,8
6,600,5,5
7,700,2,7
8,800,1,8
9,900,2,10
10,1000,1,11
11,1100,2,13
12,1200,1,14
13,1300,2,16
14,1400,2,18
15,1500,1,19
16,1600,1,20
17,1700,1,21
18,1800,2,23
19,1900,1,24
20,2000,1,25
21,2100,2,27
22,2200,1,28
23,2300,1,29
24,2400,2,31
25,2500,1,32
26,2600,2,34
27,2700,1,35
28,2800,2,37
29,2900,1,38
30,3000,1,39
31,3100,2,41
32,3200,4,4
33,3300,3,7
34,3400,1,8
35,3500,1,9
36,3600,2,11
37,3700,1,12
38,3800,1,13
39,3900,3,16
40,4000,2,18
41,4100,1,19
42,4200,1,20
43,4300,2,22
44,4400,1,23
45,4500,2,25
46,4600,1,26
47,4700,1,27
48,4800,2,29
49,4900,1,30
50,5000,1,31
51,5100,1,32
52,5200,2,34
53,5300,1,35
54,5400,1,36
55,5500,2,38
56,5600,1,39
57,5700,2,41
58,5800,2,43
59,5900,2,45
60,6000,1,46
61,6100,2,48
62,6200,2,50
63,6300,2,52
64,6400,2,54
65,6500,0,54
66,6600,6,60
67,6700,4,64
68,6800,0,64
69,6900,3,67
70,7000,2,69
71,7100,1,70
72,7200,1,71
73,7300,1,72
74,7400,2,74
75,7500,1,75
76,7600,3,78
77,7700,2,80
78,7800,3,83
79,7900,3,86
80,8000,2,88
81,8100,3,91
82,8200,1,92
83,8300,2,94
84,8400,2,96
85,8500,1,97
86,8600,1,98
87,8700,1,99
88,8800,2,101
89,8900,2,103
90,9000,2,105
91,9100,1,106
92,9200,2,108
93,9300,4,112
94,9400,2,114
95,9500,3,117
96,9600,1,118
97,9700,2,120
98,9800,1,121
99,9900,1,122
100,10000,2,124
101,10100,2,126
102,10200,5,131
103,10300,2,133
104,10400,3,136
105,10500,1,137
106,10600,0,137
107,10700,3,140
108,10800,2,142
109,10900,2,144
110,11000,1,145
111,11100,3,3
112,11200,4,7
113,11300,1,8
114,11400,2,10
115,11500,2,12
116,11600,4,16
117,11700,4,20
118,11800,4,24
119,11900,1,25
120,12000,1,26
121,12100,4,30
122,12200,2,32
123,12300,2,34
124,12400,2,36
125,12500,3,39
126,12600,3,42
127,12700,3,45
128,12800,1,46
129,12900,3,49
130,13000,2,51
131,13100,1,52
132,13200,1,53
133,13300,3,56
134,13400,1,57
135,13500,3,60
136,13600,3,63
137,13700,3,66
138,13800,1,67
139,13900,1,68
140,14000,1,69
141,14100,3,72
142,14200,3,75
143,14300,4,79
144,14400,1,80
145,14500,4,84
146,14600,2,86
147,14700,1,87
148,14800,2,89
149,14900,3,92
150,15000,2,94
151,15100,1,95
152,15200,3,98
153,15300,1,99
154,15400,4,103
155,15500,3,106
156,15600,3,109
157,15700,1,110
158,15800,3,113
159,15900,3,116
160,16000,1,117
161,16100,2,119
162,16200,1,120
163,16300,2,122
164,16400,3,125
165,16500,3,128
166,16600,0,128
167,16700,3,131
168,16800,4,135
169,16900,1,136
170,17000,1,137
171,17100,2,139
172,17200,4,143
173,17300,0,143
174,17400,5,148
175,17500,3,151
176,17600,0,151
177,17700,3,154
178,17800,2,156
179,17900,1,157
180,18000,1,158
181,18100,2,160
182,18200,2,162
183,18300,2,164
184,18400,1,165
185,18500,3,168
186,18600,2,170
187,18700,3,173
188,18800,1,174
189,18900,6,180
190,19000,3,183
191,19100,6,189
192,19200,1,190
193,19300,2,192
194,19400,2,194
195,19500,3,197
196,19600,1,198
197,19700,3,201
198,19800,0,201
199,19900,3,204
200,20000,4,208
201,20100,1,209
202,20200,4,213
203,20300,4,217
204,20400,2,219
205,20500,2,221
206,20600,2,223
207,20700,2,225
208,20800,4,229
209,20900,1,230
210,21000,2,232
211,21100,1,233
212,21200,2,235
213,21300,3,238
214,21400,2,240
215,21500,0,240
216,21600,2,242
217,21700,3,245
218,21800,5,250
219,21900,2,252
220,22000,1,253
221,22100,1,254
222,22200,2,256
223,22300,3,259
224,22400,1,260
225,22500,3,263
226,22600,3,266
227,22700,4,270
228,22800,2,272
229,22900,2,274
230,23000,2,276
231,23100,3,279
232,23200,2,281
233,23300,2,283
234,23400,4,287
235,23500,5,292
236,23600,1,293
237,23700,6,299
238,23800,3,302
239,23900,4,306
240,24000,0,306
241,24100,4,310
242,24200,3,313
243,24300,1,314
244,24400,2,316
245,24500,5,321
246,24600,2,323
247,24700,2,325
248,24800,2,327
249,24900,3,330
250,25000,3,333
251,25100,3,336
252,25200,2,338
253,25300,2,340
254,25400,1,341
255,25500,5,346
256,25600,6,352
257,25700,3,355
258,25800,2,357
259,25900,5,362
260,26000,3,365
261,26100,4,369
262,26200,3,372
263,26300,1,373
264,26400,4,377
265,26500,4,381
266,26600,3,384
267,26700,2,386
268,26800,4,390
269,26900,3,393
270,27000,2,395
271,27100,2,397
272,27200,5,402
273,27300,4,406
274,27400,3,409
275,27500,2,411
276,27600,4,415
277,27700,5,420
278,27800,5,425
279,27900,1,426
280,28000,3,429
281,28100,2,431
282,28200,2,433
283,28300,3,436
284,28400,3,439
285,28500,1,440
286,28600,3,443
287,28700,6,449
288,28800,1,450
289,28900,1,451
290,29000,2,453
291,29100,1,454
292,29200,2,456
293,29300,2,458
294,29400,1,459
295,29500,4,463
296,29600,3,466
297,29700,1,467
298,29800,3,470
299,29900,4,474
300,30000,4,478
301,30100,3,481
302,30200,5,486
303,30300,1,487
304,30400,3,490
305,30500,1,491
306,30600,4,495
307,30700,3,498
308,30800,1,499
309,30900,3,502
310,31000,2,504
311,31100,4,508
312,31200,4,512
313,31300,5,517
314,31400,4,521
315,31500,4,525
316,31600,2,527
317,31700,2,529
318,31800,3,532
319,31900,0,532
320,32000,3,535
321,32100,2,537
322,32200,5,542
323,32300,7,549
324,32400,1,550
325,32500,5,555
326,32600,4,559
327,32700,2,561
328,32800,1,562
329,32900,1,563
330,33000,5,568
331,33100,1,569
332,33200,5,574
333,33300,2,576
334,33400,2,578
335,33500,1,579
336,33600,1,580
337,33700,3,583
338,33800,0,583
339,33900,2,585
340,34000,0,585
341,34100,5,590
342,34200,5,595
343,34300,1,596
344,34400,1,597
345,34500,2,599
346,34600,4,603
347,34700,2,605
348,34800,3,608
349,34900,5,613
350,35000,3,616
351,35100,2,618
352,35200,1,619
353,35300,2,621
354,35400,1,622
355,35500,4,626
356,35600,1,627
357,35700,3,630
358,35800,2,632
359,35900,2,634
360,36000,1,635
361,36100,3,638
362,36200,5,643
363,36300,3,646
364,36400,2,648
365,36500,2,650
366,36600,0,650
367,36700,3,653
368,36800,3,656
369,36900,2,658
370,37000,2,660
371,37100,3,663
372,37200,3,666
373,37300,3,669
374,37400,1,670
375,37500,5,675
376,37600,4,679
377,37700,1,680
378,37800,3,683
379,37900,3,686
380,38000,1,687
381,38100,3,690
382,38200,4,694
383,38300,3,697
384,38400,1,698
385,38500,0,698
386,38600,6,704
387,38700,2,706
388,38800,2,708
389,38900,1,709
390,39000,2,711
391,39100,2,713
392,39200,3,716
393,39300,2,718
394,39400,1,719
395,39500,2,721
396,39600,5,726
397,39700,5,731
398,39800,3,734
399,39900,4,738
400,40000,3,741
401,40100,3,744
402,40200,3,747
403,40300,3,750
404,40400,4,754
405,40500,3,757
406,40600,5,762
407,40700,4,766
408,40800,6,772
409,40900,2,774
410,41000,4,778
411,41100,3,781
412,41200,5,786
413,41300,3,789
414,41400,4,793
415,41500,2,795
416,41600,5,800
417,41700,2,802
418,41800,6,808
419,41900,6,814
420,42000,2,816
421,42100,4,820
422,42200,4,824
423,42300,3,827
424,42400,2,829
425,42500,3,832
426,42600,1,833
427,42700,4,837
428,42800,3,840
429,42900,2,842
