window,step,throughput,cumulative_throughput
1,100,4,4
2,200,5,9
3,300,2,11
4,400,1,12
5,500,2,14
6,600,1,15
7,700,1,16
8,800,1,17
9,900,5,22
10,1000,3,25
11,1100,2,27
12,1200,6,33
13,1300,0,33
14,1400,4,37
15,1500,2,39
16,1600,3,42
17,1700,1,43
18,1800,1,44
19,1900,5,49
20,2000,5,54
21,2100,6,60
22,2200,1,1
23,2300,5,6
24,2400,5,11
25,2500,1,12
26,2600,1,13
27,2700,1,14
28,2800,2,16
29,2900,2,18
30,3000,1,19
31,3100,4,23
32,3200,4,27
33,3300,1,28
34,3400,4,32
35,3500,1,33
36,3600,2,35
37,3700,3,38
38,3800,4,42
39,3900,4,46
40,4000,6,52
41,4100,4,56
42,4200,1,57
43,4300,1,58
44,4400,6,64
45,4500,5,69
46,4600,1,70
47,4700,1,71
48,4800,4,75
49,4900,6,81
50,5000,2,83
51,5100,1,84
52,5200,7,91
53,5300,2,93
54,5400,0,93
55,5500,3,96
56,5600,1,97
57,5700,3,100
58,5800,6,106
59,5900,6,112
60,6000,1,113
61,6100,2,115
62,6200,2,117
63,6300,7,124
64,6400,3,127
65,6500,1,128
66,6600,1,129
67,6700,4,133
68,6800,5,138
69,6900,4,142
70,7000,3,145
71,7100,7,152
72,7200,5,157
73,7300,3,160
74,7400,5,165
75,7500,1,166
76,7600,4,170
77,7700,5,175
78,7800,2,177
79,7900,4,181
80,8000,6,187
81,8100,4,191
82,8200,3,194
83,8300,6,200
84,8400,5,205
85,8500,2,207
86,8600,3,210
87,8700,4,214
88,8800,6,220
89,8900,7,227
90,9000,3,230
91,9100,2,232
92,9200,4,236
93,9300,7,243
94,9400,5,248
95,9500,4,252
96,9600,3,3
97,9700,6,9
98,9800,3,12
99,9900,2,14
100,10000,1,15
101,10100,2,17
102,10200,7,24
103,10300,3,27
104,10400,1,1
105,10500,5,6
106,10600,4,10
107,10700,2,12
108,10800,1,13
109,10900,1,14
110,11000,2,16
111,11100,2,18
112,11200,6,24
113,11300,3,27
114,11400,1,1
115,11500,5,6
116,11600,4,10
117,11700,2,12
118,11800,2,14
119,11900,2,16
120,12000,4,20
121,12100,5,25
122,12200,2,27
123,12300,5,32
124,12400,6,38
125,12500,6,44
126,12600,3,47
127,12700,3,50
128,12800,5,55
129,12900,3,58
130,13000,4,62
131,13100,3,65
132,13200,5,70
133,13300,4,74
134,13400,6,80
135,13500,4,84
136,13600,3,87
137,13700,4,91
138,13800,4,95
139,13900,4,99
140,14000,3,102
141,14100,7,109
142,14200,4,113
143,14300,6,119
144,14400,5,124
145,14500,2,126
146,14600,1,127
147,14700,3,130
148,14800,4,134
149,14900,6,140
150,15000,5,145
151,15100,5,150
152,15200,3,153
153,15300,6,159
154,15400,4,163
155,15500,2,165
156,15600,4,169
157,15700,2,171
158,15800,3,174
159,15900,5,179
160,16000,2,2
161,16100,6,8
162,16200,3,11
163,16300,2,13
164,16400,1,14
165,16500,2,16
166,16600,0,16
167,16700,7,23
168,16800,6,29
169,16900,0,29
170,17000,6,35
171,17100,6,41
172,17200,5,46
173,17300,4,50
174,17400,3,53
175,17500,3,56
176,17600,4,60
177,17700,3,63
178,17800,6,69
179,17900,5,74
180,18000,6,80
181,18100,5,85
182,18200,7,92
183,18300,5,97
184,18400,3,100
185,18500,6,106
186,18600,0,106
187,18700,6,112
188,18800,6,118
189,18900,7,125
190,19000,3,128
191,19100,4,132
192,19200,2,134
193,19300,4,138
194,19400,0,138
195,19500,6,144
196,19600,7,151
197,19700,4,155
198,19800,5,160
199,19900,1,161
200,20000,5,166
201,20100,2,168
202,20200,6,174
203,20300,7,181
204,20400,6,187
205,20500,4,191
206,20600,4,195
207,20700,3,3
208,20800,6,9
209,20900,4,13
210,21000,1,14
211,21100,2,16
212,21200,1,17
213,21300,6,23
214,21400,5,28
215,21500,3,31
216,21600,4,35
217,21700,3,38
218,21800,1,1
219,21900,5,6
