window,step,throughput,cumulative_throughput
1,100,4,4
2,200,5,9
3,300,1,10
4,400,2,12
5,500,2,14
6,600,1,15
7,700,1,16
8,800,2,18
9,900,4,22
10,1000,1,23
11,1100,2,25
12,1200,3,28
13,1300,2,30
14,1400,2,32
15,1500,3,35
16,1600,2,37
17,1700,1,38
18,1800,3,41
19,1900,2,43
20,2000,2,45
21,2100,1,46
22,2200,1,47
23,2300,4,51
24,2400,4,55
25,2500,6,61
26,2600,6,67
27,2700,2,69
28,2800,1,70
29,2900,3,73
30,3000,1,74
31,3100,2,76
32,3200,3,79
33,3300,5,84
34,3400,2,86
35,3500,5,91
36,3600,2,93
37,3700,1,94
38,3800,5,99
39,3900,2,101
40,4000,3,104
41,4100,2,106
42,4200,1,107
43,4300,2,109
44,4400,4,113
45,4500,2,115
46,4600,3,118
47,4700,6,124
48,4800,1,125
49,4900,2,127
50,5000,4,131
51,5100,2,133
52,5200,3,136
53,5300,4,140
54,5400,3,143
55,5500,0,143
56,5600,5,148
57,5700,2,2
58,5800,7,9
59,5900,2,11
60,6000,4,15
61,6100,1,16
62,6200,1,17
63,6300,2,19
64,6400,1,20
65,6500,3,23
66,6600,1,24
67,6700,4,28
68,6800,3,31
69,6900,2,33
70,7000,2,35
71,7100,4,39
72,7200,1,40
73,7300,5,45
74,7400,4,49
75,7500,5,54
76,7600,3,57
77,7700,1,58
78,7800,4,62
79,7900,0,62
80,8000,3,65
81,8100,6,71
82,8200,1,72
83,8300,4,76
84,8400,4,80
85,8500,2,82
86,8600,6,88
87,8700,2,90
88,8800,2,92
89,8900,0,92
90,9000,6,98
91,9100,2,100
92,9200,3,103
93,9300,2,105
94,9400,0,105
95,9500,5,110
96,9600,2,112
97,9700,4,116
98,9800,4,120
99,9900,5,125
100,10000,6,131
101,10100,4,135
102,10200,1,136
103,10300,5,141
104,10400,3,144
105,10500,2,146
106,10600,3,149
107,10700,1,150
108,10800,5,155
109,10900,4,159
110,11000,3,162
111,11100,3,165
112,11200,1,166
113,11300,4,170
114,11400,5,175
115,11500,3,178
116,11600,1,179
117,11700,5,184
118,11800,4,188
119,11900,3,191
120,12000,3,194
121,12100,4,198
122,12200,5,203
123,12300,5,208
124,12400,5,213
125,12500,5,218
126,12600,4,222
127,12700,3,225
128,12800,3,228
129,12900,3,231
130,13000,5,236
131,13100,3,239
132,13200,4,243
133,13300,5,248
134,13400,6,254
135,13500,1,255
136,13600,4,259
137,13700,4,263
138,13800,2,265
139,13900,2,267
140,14000,7,274
141,14100,5,279
142,14200,4,283
143,14300,6,289
144,14400,5,294
145,14500,3,297
146,14600,2,299
147,14700,3,302
148,14800,5,307
149,14900,5,312
150,15000,3,315
151,15100,4,319
152,15200,3,3
153,15300,5,8
154,15400,5,13
155,15500,2,15
156,15600,1,16
157,15700,4,20
158,15800,4,24
159,15900,4,28
160,16000,2,30
161,16100,6,36
162,16200,3,39
163,16300,3,42
164,16400,6,48
165,16500,4,52
166,16600,1,53
167,16700,6,59
168,16800,6,65
169,16900,4,69
170,17000,1,70
171,17100,3,73
172,17200,3,76
173,17300,4,80
174,17400,4,84
175,17500,4,88
176,17600,3,91
177,17700,4,95
178,17800,2,97
179,17900,4,101
180,18000,5,106
181,18100,3,109
182,18200,1,1
183,18300,5,6
184,18400,4,10
185,18500,4,14
186,18600,1,15
187,18700,2,17
188,18800,2,19
189,18900,4,23
190,19000,2,25
191,19100,3,28
192,19200,2,30
193,19300,3,33
194,19400,5,38
195,19500,3,41
196,19600,2,43
197,19700,3,46
198,19800,1,47
199,19900,4,51
200,20000,1,52
201,20100,6,58
202,20200,1,1
203,20300,6,7
204,20400,4,11
205,20500,1,12
206,20600,3,15
207,20700,3,18
208,20800,3,21
209,20900,2,23
210,21000,5,28
211,21100,4,32
212,21200,5,37
213,21300,2,39
214,21400,2,41
215,21500,3,44
216,21600,2,46
217,21700,6,52
218,21800,3,3
219,21900,6,9
