window,step,throughput,cumulative_throughput
1,100,5,5
2,200,3,8
3,300,2,10
4,400,6,6
5,500,1,7
6,600,2,2
7,700,4,6
8,800,1,7
9,900,5,5
10,1000,2,7
11,1100,1,1
12,1200,5,6
13,1300,1,7
14,1400,5,5
15,1500,2,7
16,1600,1,8
17,1700,5,5
18,1800,3,8
19,1900,2,2
20,2000,4,6
21,2100,1,7
22,2200,5,5
23,2300,1,6
24,2400,1,7
25,2500,4,4
26,2600,3,7
27,2700,1,8
28,2800,2,2
29,2900,4,6
30,3000,1,7
31,3100,1,8
32,3200,5,5
33,3300,2,7
34,3400,1,8
35,3500,5,5
36,3600,2,7
37,3700,3,10
38,3800,3,3
39,3900,3,6
40,4000,3,9
41,4100,2,11
42,4200,5,5
43,4300,2,7
44,4400,3,10
45,4500,5,5
46,4600,2,7
47,4700,1,8
48,4800,2,10
49,4900,1,1
50,5000,5,6
51,5100,4,10
52,5200,2,12
53,5300,1,13
54,5400,1,14
55,5500,1,15
56,5600,2,17
57,5700,2,19
58,5800,1,20
59,5900,2,22
60,6000,1,23
61,6100,5,5
62,6200,2,7
63,6300,1,8
64,6400,6,6
65,6500,2,8
66,6600,2,10
67,6700,5,5
68,6800,2,7
69,6900,2,2
70,7000,4,6
71,7100,2,8
72,7200,5,5
73,7300,2,7
74,7400,1,8
75,7500,5,5
76,7600,2,7
77,7700,3,10
78,7800,1,11
79,7900,5,5
80,8000,2,7
81,8100,2,9
82,8200,5,5
83,8300,2,7
84,8400,1,8
85,8500,2,10
86,8600,2,12
87,8700,1,13
88,8800,2,15
89,8900,2,2
90,9000,4,6
91,9100,2,8
92,9200,1,9
93,9300,5,5
94,9400,2,7
95,9500,1,8
96,9600,2,10
97,9700,2,12
98,9800,1,13
99,9900,2,2
100,10000,4,6
101,10100,2,8
102,10200,2,10
103,10300,6,6
104,10400,2,8
105,10500,2,10
106,10600,2,12
107,10700,1,13
108,10800,6,6
109,10900,1,7
110,11000,3,10
111,11100,5,5
112,11200,2,7
113,11300,2,9
114,11400,2,11
115,11500,5,5
116,11600,2,7
117,11700,3,10
118,11800,1,11
119,11900,2,13
120,12000,1,14
121,12100,5,5
122,12200,2,7
123,12300,2,9
124,12400,5,5
125,12500,2,7
126,12600,3,10
127,12700,5,5
128,12800,2,7
129,12900,3,10
130,13000,5,5
131,13100,3,8
132,13200,2,10
133,13300,5,5
134,13400,2,7
135,13500,3,10
136,13600,5,5
137,13700,2,7
138,13800,1,8
139,13900,2,10
140,14000,2,12
141,14100,5,5
142,14200,3,8
143,14300,2,10
144,14400,2,12
145,14500,2,14
146,14600,2,16
147,14700,2,18
148,14800,0,18
149,14900,1,19
150,15000,1,20
151,15100,4,24
152,15200,2,26
153,15300,1,27
154,15400,2,29
155,15500,2,31
156,15600,1,32
157,15700,0,32
158,15800,2,34
159,15900,1,35
160,16000,3,38
161,16100,1,39
162,16200,2,41
163,16300,1,42
164,16400,2,44
165,16500,1,45
166,16600,3,48
167,16700,2,50
168,16800,2,52
169,16900,0,52
170,17000,3,55
171,17100,3,58
172,17200,1,59
173,17300,0,59
174,17400,2,61
175,17500,2,63
176,17600,2,65
177,17700,3,68
178,17800,1,69
179,17900,1,70
180,18000,3,73
181,18100,2,75
182,18200,2,77
183,18300,1,78
184,18400,3,81
185,18500,1,82
186,18600,3,85
187,18700,1,86
188,18800,5,91
189,18900,1,92
190,19000,2,94
191,19100,1,95
192,19200,2,97
193,19300,2,99
194,19400,2,101
195,19500,1,102
196,19600,4,106
197,19700,2,108
198,19800,0,108
199,19900,2,110
200,20000,2,112
201,20100,1,113
202,20200,5,118
203,20300,2,120
204,20400,1,121
205,20500,2,123
206,20600,1,124
207,20700,3,127
208,20800,2,129
209,20900,2,131
210,21000,2,133
211,21100,3,136
212,21200,0,136
213,21300,2,138
214,21400,3,141
215,21500,1,142
216,21600,1,143
217,21700,4,147
218,21800,3,150
219,21900,2,152
220,22000,0,152
221,22100,3,155
222,22200,2,157
223,22300,1,158
224,22400,3,161
225,22500,2,163
226,22600,2,165
227,22700,1,166
228,22800,1,167
229,22900,2,169
230,23000,1,170
231,23100,3,173
232,23200,3,176
233,23300,2,178
234,23400,3,181
235,23500,2,183
236,23600,2,185
237,23700,2,187
238,23800,2,189
239,23900,2,191
240,24000,3,194
241,24100,2,196
242,24200,0,196
243,24300,2,198
244,24400,1,199
245,24500,3,202
246,24600,3,205
247,24700,2,207
248,24800,3,210
249,24900,0,210
250,25000,3,213
251,25100,2,215
252,25200,2,217
253,25300,1,218
254,25400,4,222
255,25500,1,223
256,25600,2,225
257,25700,2,227
258,25800,0,227
259,25900,2,229
260,26000,2,231
261,26100,2,233
262,26200,1,234
263,26300,2,236
264,26400,1,237
265,26500,1,238
266,26600,3,241
267,26700,2,243
268,26800,1,244
269,26900,2,246
270,27000,2,248
271,27100,1,249
272,27200,1,250
273,27300,2,252
274,27400,2,254
275,27500,0,254
276,27600,5,259
277,27700,2,261
278,27800,5,266
279,27900,2,268
280,28000,0,268
281,28100,3,271
282,28200,2,273
283,28300,0,273
284,28400,4,277
285,28500,2,279
286,28600,2,281
287,28700,2,283
288,28800,1,284
289,28900,2,286
290,29000,1,287
291,29100,2,289
292,29200,2,291
293,29300,1,292
294,29400,3,295
295,29500,2,297
296,29600,4,301
297,29700,1,302
298,29800,5,307
299,29900,1,308
300,30000,1,309
301,30100,2,311
302,30200,3,314
303,30300,2,316
304,30400,2,318
305,30500,1,319
306,30600,1,320
307,30700,2,322
308,30800,0,322
309,30900,1,323
310,31000,4,327
311,31100,3,330
312,31200,6,336
313,31300,1,337
314,31400,4,341
315,31500,3,344
316,31600,3,347
317,31700,1,348
318,31800,0,348
319,31900,2,350
320,32000,3,353
321,32100,3,356
322,32200,1,357
323,32300,1,358
324,32400,3,361
325,32500,3,364
326,32600,3,367
327,32700,5,372
328,32800,2,374
329,32900,4,378
330,33000,0,378
331,33100,2,380
332,33200,4,384
333,33300,2,386
334,33400,5,391
335,33500,4,395
336,33600,2,397
337,33700,0,397
338,33800,4,401
339,33900,4,405
340,34000,0,405
341,34100,1,406
342,34200,4,410
343,34300,0,410
344,34400,2,412
345,34500,5,417
346,34600,2,419
347,34700,2,421
348,34800,1,422
349,34900,4,426
350,35000,2,428
351,35100,2,430
352,35200,1,431
353,35300,2,433
354,35400,5,5
355,35500,5,10
356,35600,0,10
357,35700,2,12
358,35800,3,15
359,35900,5,5
360,36000,5,10
361,36100,0,10
362,36200,3,13
363,36300,0,13
364,36400,2,15
365,36500,1,16
366,36600,5,5
367,36700,5,10
368,36800,0,10
369,36900,2,12
370,37000,2,14
371,37100,5,5
372,37200,5,10
373,37300,0,10
374,37400,2,12
375,37500,2,14
376,37600,1,15
377,37700,3,3
378,37800,6,9
379,37900,1,10
380,38000,2,12
381,38100,1,13
382,38200,2,15
383,38300,2,2
384,38400,6,8
385,38500,2,10
386,38600,2,12
387,38700,1,13
388,38800,1,14
389,38900,5,5
390,39000,5,10
391,39100,0,10
392,39200,2,12
393,39300,2,14
394,39400,1,15
395,39500,4,4
396,39600,5,9
397,39700,1,10
398,39800,2,12
399,39900,1,13
400,40000,4,4
401,40100,5,9
402,40200,1,10
403,40300,2,12
404,40400,1,13
405,40500,2,15
406,40600,1,16
407,40700,5,5
408,40800,4,9
409,40900,1,10
410,41000,2,12
411,41100,2,14
412,41200,5,5
413,41300,5,10
414,41400,0,10
415,41500,2,12
416,41600,1,13
417,41700,2,15
418,41800,1,16
419,41900,5,5
420,42000,5,10
421,42100,0,10
422,42200,2,12
423,42300,2,14
424,42400,1,15
425,42500,5,5
426,42600,5,10
427,42700,0,10
428,42800,2,12
429,42900,2,14
430,43000,4,4
431,43100,5,9
432,43200,1,10
433,43300,2,12
434,43400,1,13
435,43500,2,15
436,43600,4,4
437,43700,5,9
438,43800,1,10
439,43900,2,12
440,44000,1,13
441,44100,1,14
442,44200,5,5
443,44300,5,10
444,44400,0,10
445,44500,3,13
446,44600,1,14
447,44700,4,4
448,44800,5,9
449,44900,1,10
450,45000,2,12
451,45100,1,13
452,45200,1,14
453,45300,5,5
454,45400,5,10
455,45500,0,10
456,45600,2,12
457,45700,1,13
458,45800,1,14
459,45900,5,5
460,46000,5,10
461,46100,0,10
462,46200,2,12
463,46300,2,14
464,46400,5,5
465,46500,5,10
466,46600,0,10
467,46700,2,12
468,46800,1,13
469,46900,4,4
470,47000,5,9
471,47100,1,10
472,47200,2,12
473,47300,1,13
474,47400,1,14
475,47500,7,7
476,47600,3,10
477,47700,1,11
478,47800,2,13
479,47900,1,14
480,48000,6,6
481,48100,4,10
482,48200,1,11
483,48300,2,13
484,48400,1,14
485,48500,1,15
486,48600,6,6
487,48700,4,10
488,48800,1,11
489,48900,1,12
490,49000,2,14
491,49100,5,5
492,49200,5,10
493,49300,0,10
494,49400,2,12
495,49500,2,14
496,49600,5,5
497,49700,5,10
498,49800,0,10
499,49900,2,12
500,50000,2,14
501,50100,2,2
502,50200,6,8
503,50300,2,10
504,50400,2,12
505,50500,1,13
506,50600,1,14
507,50700,1,15
508,50800,1,16
509,50900,5,5
510,51000,5,10
511,51100,0,10
512,51200,2,12
513,51300,2,14
514,51400,5,5
515,51500,5,10
516,51600,0,10
517,51700,2,12
518,51800,1,13
519,51900,5,5
520,52000,5,10
521,52100,0,10
522,52200,2,12
523,52300,2,14
524,52400,5,5
525,52500,5,10
526,52600,0,10
527,52700,2,12
528,52800,1,13
529,52900,5,5
530,53000,5,10
531,53100,0,10
532,53200,3,13
533,53300,0,13
534,53400,2,15
535,53500,5,5
536,53600,5,10
537,53700,0,10
538,53800,2,12
539,53900,1,13
540,54000,5,5
541,54100,5,10
542,54200,0,10
543,54300,2,12
544,54400,2,14
545,54500,5,5
546,54600,5,10
547,54700,0,10
548,54800,2,12
549,54900,1,13
550,55000,1,14
551,55100,5,5
552,55200,5,10
