approx_kl,clip_fraction,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,std,value_loss,fps,time_elapsed,total_timesteps,iterations
0,0,0,0,0.0009999366400000001,0,0,0,0,0,0,0,128,0
0,0,0,0,0.00099987328,0,0,0,0,0,0,0,256,0
0,0,0,0,0.00099980992,0,0,0,0,0,0,0,384,0
0,0,0,0,0.00099974656,0,0,0,0,0,0,0,512,0
0,0,0,0,0.0009996832,0,0,0,0,0,0,0,640,0
0,0,0,0,0.0009996198399999999,0,0,0,0,0,0,0,768,0
0,0,0,0,0.00099955648,0,0,0,0,0,0,0,896,0
0,0,0,0,0.0009994931200000001,0,0,0,0,0,0,0,1024,0
0,0,0,0,0.00099942976,0,0,0,0,0,0,0,1152,0
0,0,0,0,0.0009993664000000001,0,0,0,0,0,0,0,1280,0
0,0,0,0,0.00099930304,0,0,0,0,0,0,0,1408,0
0,0,0,0,0.00099923968,0,0,0,0,0,0,0,1536,0
0,0,0,0,0.0009991763199999999,0,0,0,0,0,0,0,1664,0
0,0,0,0,0.00099911296,0,0,0,0,0,0,0,1792,0
0,0,0,0,0.0009990496,0,0,0,0,0,0,0,1920,0
0,0,0,0,0.00099898624,0,0,0,0,0,0,0,2048,0
0,0,0,0,0.0009989228800000001,0,0,0,0,0,0,0,2176,0
0,0,0,0,0.00099885952,0,0,0,0,0,0,0,2304,0
0,0,0,0,0.00099879616,0,0,0,0,0,0,0,2432,0
0,0,0,0,0.0009987328,0,0,0,0,0,0,0,2560,0
0,0,0,0,0.00099866944,0,0,0,0,0,0,0,2688,0
0,0,0,0,0.00099860608,0,0,0,0,0,0,0,2816,0
0,0,0,0,0.00099854272,0,0,0,0,0,0,0,2944,0
0,0,0,0,0.0009984793600000001,0,0,0,0,0,0,0,3072,0
0,0,0,0,0.000998416,0,0,0,0,0,0,0,3200,0
0,0,0,0,0.00099835264,0,0,0,0,0,0,0,3328,0
0,0,0,0,0.00099828928,0,0,0,0,0,0,0,3456,0
