window,step,throughput,cumulative_throughput
1,100,4,4
2,200,3,7
3,300,2,2
4,400,4,6
5,500,1,7
6,600,3,10
7,700,4,4
8,800,2,6
9,900,5,11
10,1000,2,2
11,1100,4,6
12,1200,1,7
13,1300,3,10
14,1400,5,5
15,1500,2,7
16,1600,3,10
17,1700,5,5
18,1800,2,7
19,1900,3,10
20,2000,2,2
21,2100,4,6
22,2200,1,7
23,2300,4,4
24,2400,2,6
25,2500,3,9
26,2600,4,4
27,2700,2,6
28,2800,2,2
29,2900,4,6
30,3000,1,7
31,3100,4,4
32,3200,3,7
33,3300,3,10
34,3400,2,12
35,3500,1,13
36,3600,2,15
37,3700,1,16
38,3800,1,17
39,3900,2,19
40,4000,2,21
41,4100,1,22
42,4200,2,24
43,4300,1,25
44,4400,1,26
45,4500,1,27
46,4600,2,29
47,4700,1,30
48,4800,2,32
49,4900,2,34
50,5000,4,4
51,5100,3,7
52,5200,3,10
53,5300,2,12
54,5400,2,14
55,5500,1,15
56,5600,5,5
57,5700,2,7
58,5800,5,12
59,5900,1,13
60,6000,1,14
61,6100,1,15
62,6200,4,19
63,6300,1,20
64,6400,3,23
65,6500,1,24
66,6600,1,25
67,6700,0,25
68,6800,3,28
69,6900,1,29
70,7000,2,31
71,7100,0,31
72,7200,3,3
73,7300,4,7
74,7400,2,9
75,7500,1,1
76,7600,4,5
77,7700,2,7
78,7800,3,10
79,7900,4,4
80,8000,3,7
81,8100,2,9
82,8200,1,1
83,8300,5,6
84,8400,1,7
85,8500,3,10
86,8600,3,13
87,8700,1,14
88,8800,2,16
89,8900,3,19
90,9000,1,20
91,9100,2,22
92,9200,1,23
93,9300,1,24
94,9400,2,26
95,9500,1,27
96,9600,1,28
97,9700,1,29
98,9800,3,32
99,9900,1,33
100,10000,2,35
101,10100,2,37
102,10200,2,39
103,10300,2,41
104,10400,3,44
105,10500,1,45
106,10600,1,1
107,10700,4,5
108,10800,2,7
109,10900,2,9
110,11000,3,12
111,11100,1,13
112,11200,4,4
113,11300,3,7
114,11400,0,7
115,11500,3,10
116,11600,2,12
117,11700,2,14
118,11800,1,15
119,11900,4,4
120,12000,3,7
121,12100,0,7
122,12200,3,10
123,12300,4,14
124,12400,1,15
125,12500,5,5
126,12600,2,7
127,12700,3,10
128,12800,1,11
129,12900,5,5
130,13000,2,7
131,13100,1,8
132,13200,2,10
133,13300,2,12
134,13400,4,4
135,13500,3,7
136,13600,1,8
137,13700,2,10
138,13800,3,13
139,13900,1,14
140,14000,4,4
141,14100,2,6
142,14200,1,7
143,14300,3,10
144,14400,3,13
145,14500,0,13
146,14600,1,1
147,14700,5,6
148,14800,1,7
149,14900,2,9
150,15000,2,11
151,15100,3,14
152,15200,1,15
153,15300,2,17
154,15400,2,19
155,15500,1,20
156,15600,2,22
157,15700,1,23
158,15800,2,25
159,15900,2,27
160,16000,1,28
161,16100,0,28
162,16200,2,30
163,16300,2,32
164,16400,0,32
165,16500,4,36
166,16600,2,38
167,16700,1,39
168,16800,1,40
169,16900,4,44
170,17000,2,46
171,17100,2,48
172,17200,5,53
173,17300,1,54
174,17400,2,56
175,17500,2,58
176,17600,1,59
177,17700,2,61
178,17800,1,62
179,17900,0,62
180,18000,2,64
181,18100,5,69
182,18200,0,69
183,18300,1,70
184,18400,3,73
185,18500,2,75
186,18600,3,78
187,18700,0,78
188,18800,3,81
189,18900,1,82
190,19000,3,85
191,19100,1,86
192,19200,2,88
193,19300,1,89
194,19400,1,90
195,19500,1,91
196,19600,3,94
197,19700,1,95
198,19800,4,99
199,19900,2,101
200,20000,1,102
201,20100,3,105
202,20200,1,106
203,20300,2,108
204,20400,1,109
205,20500,3,112
206,20600,3,115
207,20700,3,118
208,20800,1,119
209,20900,2,121
210,21000,4,4
211,21100,2,6
212,21200,1,7
213,21300,3,10
214,21400,2,12
215,21500,2,14
216,21600,2,16
217,21700,1,17
218,21800,4,4
219,21900,3,7
220,22000,0,7
221,22100,3,10
222,22200,4,4
223,22300,3,7
224,22400,0,7
225,22500,1,1
226,22600,4,5
227,22700,2,7
228,22800,2,9
229,22900,1,10
230,23000,2,12
231,23100,2,14
232,23200,2,16
233,23300,1,17
234,23400,3,3
235,23500,3,6
236,23600,1,7
237,23700,3,10
238,23800,4,4
239,23900,3,7
240,24000,0,7
241,24100,3,10
242,24200,5,5
243,24300,2,7
244,24400,1,8
245,24500,2,10
246,24600,3,13
247,24700,2,15
248,24800,2,17
249,24900,3,20
250,25000,2,22
251,25100,2,24
252,25200,1,25
253,25300,1,26
254,25400,2,28
255,25500,2,30
256,25600,2,32
257,25700,1,33
258,25800,2,35
259,25900,1,36
260,26000,0,36
261,26100,2,38
262,26200,4,4
263,26300,2,6
264,26400,1,7
265,26500,3,10
266,26600,3,13
267,26700,1,14
268,26800,3,17
269,26900,1,18
270,27000,3,21
271,27100,2,23
272,27200,1,24
273,27300,2,26
274,27400,1,27
275,27500,2,29
276,27600,1,30
277,27700,2,32
278,27800,1,33
279,27900,0,33
280,28000,2,35
281,28100,1,1
282,28200,4,5
283,28300,2,7
284,28400,1,8
285,28500,3,3
286,28600,3,6
287,28700,1,7
288,28800,3,10
289,28900,2,12
290,29000,2,14
291,29100,2,16
292,29200,1,17
293,29300,2,19
294,29400,4,23
295,29500,2,25
296,29600,1,26
297,29700,2,28
298,29800,1,29
299,29900,1,30
300,30000,1,31
301,30100,1,32
302,30200,1,33
303,30300,1,34
304,30400,3,37
305,30500,1,1
306,30600,4,5
307,30700,2,7
308,30800,1,8
309,30900,2,10
310,31000,2,12
311,31100,3,15
312,31200,1,16
313,31300,3,19
314,31400,1,20
315,31500,1,21
316,31600,2,23
317,31700,1,24
318,31800,1,25
319,31900,2,27
320,32000,3,30
321,32100,2,32
322,32200,1,33
323,32300,3,3
324,32400,3,6
325,32500,1,7
326,32600,2,9
327,32700,2,11
328,32800,3,14
329,32900,1,15
330,33000,2,17
331,33100,3,20
332,33200,1,21
333,33300,3,24
334,33400,0,24
335,33500,2,26
336,33600,1,27
337,33700,2,29
338,33800,2,31
339,33900,2,33
340,34000,1,34
341,34100,1,35
342,34200,3,38
343,34300,3,41
344,34400,1,42
345,34500,2,44
346,34600,3,47
347,34700,3,50
348,34800,1,51
349,34900,2,53
350,35000,1,54
351,35100,3,57
352,35200,1,58
353,35300,2,60
354,35400,2,62
355,35500,1,63
356,35600,1,64
357,35700,2,66
358,35800,1,67
359,35900,4,71
360,36000,3,74
361,36100,1,75
362,36200,4,79
363,36300,3,82
364,36400,2,84
365,36500,0,84
366,36600,2,86
367,36700,3,89
368,36800,1,90
369,36900,3,93
370,37000,1,94
371,37100,1,95
372,37200,1,96
373,37300,4,100
374,37400,6,106
375,37500,1,107
376,37600,1,108
377,37700,1,109
378,37800,3,112
379,37900,1,113
380,38000,2,115
381,38100,5,120
382,38200,2,122
383,38300,2,124
384,38400,4,128
385,38500,3,131
386,38600,1,132
387,38700,2,134
388,38800,5,139
389,38900,3,142
390,39000,2,144
391,39100,2,146
392,39200,2,148
393,39300,1,149
394,39400,1,150
395,39500,2,152
396,39600,3,155
397,39700,1,156
398,39800,2,158
399,39900,5,163
400,40000,2,165
401,40100,2,167
402,40200,2,169
403,40300,1,170
404,40400,3,173
405,40500,2,175
406,40600,2,177
407,40700,1,178
408,40800,1,179
409,40900,3,182
410,41000,2,184
411,41100,5,189
412,41200,1,190
413,41300,3,193
414,41400,3,196
415,41500,2,198
416,41600,3,201
417,41700,4,205
418,41800,4,209
419,41900,1,210
420,42000,1,211
421,42100,3,214
422,42200,2,216
423,42300,1,217
424,42400,2,219
425,42500,5,224
426,42600,3,227
427,42700,0,227
428,42800,2,229
429,42900,3,232
