window,step,throughput,cumulative_throughput
355,35500,3,238
356,35600,1,239
357,35700,4,243
358,35800,7,250
359,35900,6,256
360,36000,2,258
361,36100,4,262
362,36200,4,266
363,36300,3,269
364,36400,2,271
365,36500,1,272
366,36600,2,274
367,36700,3,277
368,36800,6,283
369,36900,4,287
370,37000,0,287
371,37100,5,292
372,37200,4,296
373,37300,5,301
374,37400,3,304
375,37500,3,307
376,37600,0,307
377,37700,6,313
378,37800,4,317
379,37900,2,319
380,38000,3,322
381,38100,1,323
382,38200,4,327
383,38300,2,329
384,38400,2,331
385,38500,4,335
386,38600,5,340
387,38700,3,343
388,38800,3,346
389,38900,7,353
390,39000,5,358
391,39100,4,362
392,39200,0,362
393,39300,1,363
394,39400,5,368
395,39500,4,372
396,39600,7,379
397,39700,2,381
398,39800,5,386
399,39900,4,4
400,40000,5,9
401,40100,2,11
402,40200,6,17
403,40300,2,19
404,40400,1,20
405,40500,4,24
406,40600,3,27
407,40700,2,29
408,40800,3,32
409,40900,2,34
410,41000,1,35
411,41100,1,36
412,41200,4,40
413,41300,2,42
414,41400,6,48
415,41500,6,54
416,41600,2,56
417,41700,3,59
418,41800,3,62
419,41900,3,65
420,42000,6,71
421,42100,4,75
422,42200,1,76
423,42300,5,81
424,42400,3,84
425,42500,5,89
426,42600,4,93
427,42700,4,97
428,42800,2,99
429,42900,1,100
430,43000,4,104
431,43100,5,109
432,43200,6,115
433,43300,5,120
434,43400,7,127
435,43500,6,133
436,43600,3,136
437,43700,6,142
438,43800,3,145
439,43900,5,150
440,44000,4,154
441,44100,5,159
442,44200,3,162
443,44300,2,164
444,44400,6,170
445,44500,6,176
446,44600,5,181
447,44700,7,188
448,44800,4,192
449,44900,2,194
450,45000,1,195
451,45100,4,199
452,45200,4,203
453,45300,4,207
454,45400,4,211
455,45500,6,217
456,45600,1,218
457,45700,3,221
458,45800,4,225
459,45900,3,228
460,46000,3,231
461,46100,4,235
462,46200,0,235
463,46300,5,240
464,46400,5,245
465,46500,6,251
466,46600,2,253
467,46700,6,259
468,46800,6,265
469,46900,3,268
470,47000,2,270
471,47100,3,273
472,47200,5,278
473,47300,7,285
474,47400,6,291
475,47500,7,298
476,47600,7,305
477,47700,7,312
478,47800,4,316
479,47900,6,322
480,48000,8,330
481,48100,5,335
